company_id,has_tracker,tracker_count,policy_disclosed,under_disclosure,over_disclosure,mismatch_label,industry,founding_year,employee_range,policy_length
MAN_0000,True,7,False,True,False,under_disclosure,fintech,2013,1001-5000,0
MAN_0003,True,25,False,True,False,under_disclosure,fintech,2014,11-50,311
MAN_0004,True,19,False,True,False,under_disclosure,fintech,2015,11-50,17267
MAN_0012,True,10,False,True,False,under_disclosure,fintech,2017,51-200,0
MAN_0014,True,2,False,True,False,under_disclosure,fintech,2019,51-200,27095
MAN_0016,True,11,False,True,False,under_disclosure,fintech,2019,11-50,50857
MAN_0021,True,31,True,False,False,none,ecommerce,2014,201-500,13620
MAN_0022,True,21,False,True,False,under_disclosure,ecommerce,2015,201-500,18965
MAN_0023,True,3,False,True,False,under_disclosure,ecommerce,2014,501-1000,6520
MAN_0024,True,11,False,True,False,under_disclosure,ecommerce,2015,1001-5000,8313
MAN_0025,True,6,False,True,False,under_disclosure,ecommerce,2011,51-200,18726
MAN_0028,True,19,True,False,False,none,edtech,2018,201-500,23009
MAN_0030,True,2,False,True,False,under_disclosure,edtech,2012,51-200,21865
MAN_0031,True,32,False,True,False,under_disclosure,edtech,2018,11-50,18679
MAN_0032,True,28,False,True,False,under_disclosure,edtech,2016,11-50,10721
MAN_0033,True,12,False,True,False,under_disclosure,edtech,2016,11-50,23734
MAN_0035,True,18,True,False,False,none,edtech,2018,51-200,9803
MAN_0036,True,13,False,True,False,under_disclosure,edtech,2016,51-200,25342
MAN_0038,True,7,False,True,False,under_disclosure,edtech,2010,201-500,45480
MAN_0040,True,37,False,True,False,under_disclosure,edtech,2014,201-500,9385
MAN_0041,True,12,True,False,False,none,edtech,2015,51-200,9474
MAN_0042,True,5,False,True,False,under_disclosure,edtech,2009,51-200,5711
MAN_0043,True,25,False,True,False,under_disclosure,edtech,2020,11-50,15744
MAN_0045,True,7,True,False,False,none,healthtech,2020,51-200,10782
MAN_0048,True,6,True,False,False,none,healthtech,2013,201-500,9923
MAN_0049,True,9,False,True,False,under_disclosure,healthtech,2014,51-200,11406
MAN_0050,True,8,False,True,False,under_disclosure,healthtech,2017,51-200,4313
MAN_0052,True,6,False,True,False,under_disclosure,healthtech,1996,201-500,497
MAN_0054,True,17,False,True,False,under_disclosure,saas,2014,201-500,0
MAN_0056,True,12,True,False,False,none,saas,2012,201-500,5352
MAN_0058,True,16,True,False,False,none,saas,2019,51-200,15354
MAN_0060,True,47,True,False,False,none,saas,2012,51-200,19703
MAN_0061,True,33,False,True,False,under_disclosure,saas,2015,201-500,31007
MAN_0062,True,5,True,False,False,none,saas,2011,201-500,13061
MAN_0064,True,21,False,True,False,under_disclosure,saas,2021,51-200,19963
MAN_0065,True,5,True,False,False,none,saas,2020,51-200,88827
MAN_0071,True,24,False,True,False,under_disclosure,saas,2016,51-200,5442
MAN_0074,True,3,False,True,False,under_disclosure,saas,2000,1001-5000,1336
MAN_0076,True,10,False,True,False,under_disclosure,saas,2019,201-500,10966
MAN_0078,True,17,True,False,False,none,logistics,2012,1001-5000,8921
MAN_0079,True,11,True,False,False,none,mobility,2011,1001-5000,13055
MAN_0080,True,10,False,True,False,under_disclosure,mobility,2018,201-500,19546
MAN_0082,True,6,False,True,False,under_disclosure,mobility,2017,501-1000,7282
MAN_0083,True,2,False,True,False,under_disclosure,media,2011,201-500,1590
MAN_0084,True,31,True,False,False,none,media,2013,51-200,9974
MAN_0085,True,7,False,True,False,under_disclosure,media,2012,51-200,33206
MAN_0087,True,18,False,True,False,under_disclosure,media,2009,201-500,22506
MAN_0088,True,35,False,True,False,under_disclosure,media,2016,201-500,0
MAN_0089,True,31,False,True,False,under_disclosure,media,2016,51-200,23228
MAN_0090,True,5,True,False,False,none,media,2014,501-1000,7953
MAN_0091,True,10,False,True,False,under_disclosure,media,2013,11-50,20
MAN_0092,True,2,False,True,False,under_disclosure,media,2021,501-1000,16675
MAN_0093,True,1,True,False,False,none,media,2010,201-500,16838
MAN_0094,True,5,False,True,False,under_disclosure,media,2016,11-50,678
MAN_0095,True,17,False,True,False,under_disclosure,media,2017,11-50,5269
MAN_0096,True,25,False,True,False,under_disclosure,proptech,2012,201-500,12383
MAN_0098,True,29,False,True,False,under_disclosure,proptech,2015,51-200,8442
MAN_0102,True,12,False,True,False,under_disclosure,foodtech,2012,501-1000,24
MAN_0104,True,14,True,False,False,none,foodtech,2012,51-200,8663
MAN_0105,True,12,False,True,False,under_disclosure,foodtech,2016,11-50,8798
MAN_0106,True,12,False,True,False,under_disclosure,gaming,1997,1001-5000,23549
MAN_0107,True,2,False,True,False,under_disclosure,gaming,1994,1001-5000,1108
MAN_0109,True,4,True,False,False,none,gaming,2002,1001-5000,7546
MAN_0110,True,4,False,True,False,under_disclosure,gaming,2016,501-1000,25706
MAN_0111,True,5,False,True,False,under_disclosure,gaming,2010,1001-5000,549
MAN_0112,True,4,False,True,False,under_disclosure,gaming,2009,201-500,3700
MAN_0113,True,9,False,True,False,under_disclosure,gaming,1998,501-1000,15903
MAN_0114,True,5,False,True,False,under_disclosure,gaming,2000,501-1000,14559
MAN_0115,True,4,True,False,False,none,gaming,2000,501-1000,47602
MSM_00043,True,3,True,False,False,none,saas,2023,,12215
MSM_00348,True,2,False,True,False,under_disclosure,saas,2023,,28
MSM_03142,True,12,False,True,False,under_disclosure,saas,2023,,2
MSM_03256,True,9,False,True,False,under_disclosure,saas,2023,,1156
MSM_04925,True,4,False,True,False,under_disclosure,saas,2023,,3749
MSM_06481,True,2,True,False,False,none,edtech,2023,,6844
MSM_10329,True,2,False,True,False,under_disclosure,saas,2023,,859
MSM_13255,True,7,False,True,False,under_disclosure,saas,2023,,6245
MSM_13389,True,3,False,True,False,under_disclosure,gaming,2023,,3490
MSM_13937,False,0,False,False,False,none,saas,2023,,10655
MSM_14045,True,9,False,True,False,under_disclosure,saas,2023,,10567
MSM_14243,True,37,False,True,False,under_disclosure,saas,2023,,2592
MSM_14504,True,5,False,True,False,under_disclosure,saas,2023,,5208
MSM_15375,True,28,False,True,False,under_disclosure,edtech,2023,,5308
MSM_15514,True,12,False,True,False,under_disclosure,edtech,2023,,10961
MSM_15846,True,40,False,True,False,under_disclosure,saas,2023,,12156
MSM_16051,True,17,False,True,False,under_disclosure,saas,2023,,8
MSM_16097,True,7,False,True,False,under_disclosure,saas,2023,,267
MSM_16208,True,18,False,True,False,under_disclosure,saas,2023,,818
MSM_16367,True,17,False,True,False,under_disclosure,saas,2023,,8
MSM_16515,True,10,False,True,False,under_disclosure,saas,2023,,4980
MSM_16533,True,3,False,True,False,under_disclosure,saas,2023,,2746
MSM_16597,True,6,False,True,False,under_disclosure,saas,2023,,6578
MSM_16697,True,12,False,True,False,under_disclosure,fintech,2023,,23734
MSM_16820,True,17,False,True,False,under_disclosure,saas,2023,,10616
MSM_16919,True,16,False,True,False,under_disclosure,foodtech,2023,,985
MSM_16996,True,3,False,True,False,under_disclosure,saas,2023,,990
MSM_17024,True,4,False,True,False,under_disclosure,saas,2023,,6154
MSM_17136,True,12,False,True,False,under_disclosure,saas,2023,,14294
MSM_17198,True,10,False,True,False,under_disclosure,saas,2023,,4980
MSM_17328,True,4,False,True,False,under_disclosure,saas,2023,,13389
MSM_17339,True,8,False,True,False,under_disclosure,healthtech,2023,,11903
MSM_17523,True,10,False,True,False,under_disclosure,saas,2023,,4980
MSM_17558,True,2,False,True,False,under_disclosure,saas,2023,,8361
MSM_17638,True,18,False,True,False,under_disclosure,media,2023,,6271
MSM_17720,True,6,False,True,False,under_disclosure,saas,2023,,233
MSM_18042,True,10,False,True,False,under_disclosure,saas,2023,,4614
MSM_18050,True,10,False,True,False,under_disclosure,saas,2023,,9535
MSM_18062,True,10,False,True,False,under_disclosure,saas,2023,,4980
MSM_18069,False,0,False,False,False,none,saas,2023,,82
MSM_18098,True,5,False,True,False,under_disclosure,saas,2023,,3595
MSM_18107,True,13,False,True,False,under_disclosure,saas,2023,,23734
MSM_18129,True,1,True,False,False,none,saas,2023,,28720
MSM_18147,True,31,False,True,False,under_disclosure,saas,2023,,8416
MSM_18177,True,10,False,True,False,under_disclosure,saas,2023,,1705
MSM_18192,True,7,False,True,False,under_disclosure,edtech,2023,,329
MSM_18213,True,23,False,True,False,under_disclosure,saas,2023,,6396
MSM_18276,True,4,False,True,False,under_disclosure,saas,2023,,629
MSM_18324,False,0,True,False,True,over_disclosure,saas,2023,,4558
MSM_18325,True,19,False,True,False,under_disclosure,saas,2023,,3622
MSM_18347,True,2,False,True,False,under_disclosure,saas,2023,,5190
MSM_18370,True,19,False,True,False,under_disclosure,healthtech,2023,,0
MSM_18394,True,10,True,False,False,none,saas,2023,,4180
MSM_18399,True,7,False,True,False,under_disclosure,saas,2023,,8073
MSM_18439,True,4,False,True,False,under_disclosure,fintech,2023,,3486
MSM_18442,False,0,False,False,False,none,saas,2023,,14260
MSM_18448,True,18,False,True,False,under_disclosure,saas,2023,,130
MSM_18452,False,0,False,False,False,none,saas,2023,,6208
MSM_18465,True,19,False,True,False,under_disclosure,media,2023,,3282
MSM_18523,True,30,False,True,False,under_disclosure,saas,2023,,56267
MSM_18525,True,4,False,True,False,under_disclosure,saas,2023,,575
MSM_18608,True,1,False,True,False,under_disclosure,saas,2023,,9879
MSM_18629,True,12,False,True,False,under_disclosure,saas,2023,,4261
MSM_18642,True,14,False,True,False,under_disclosure,healthtech,2023,,1922
MSM_18653,True,7,True,False,False,none,saas,2023,,3885
MSM_18679,True,14,False,True,False,under_disclosure,saas,2023,,1803
MSM_18699,False,0,False,False,False,none,saas,2023,,32
MSM_18714,True,17,False,True,False,under_disclosure,edtech,2023,,985
MSM_18741,True,8,False,True,False,under_disclosure,saas,2023,,1658
MSM_18761,True,7,False,True,False,under_disclosure,saas,2023,,1536
MSM_18763,True,19,False,True,False,under_disclosure,saas,2023,,4953
MSM_18772,True,3,False,True,False,under_disclosure,saas,2023,,8112
MSM_18775,True,16,True,False,False,none,saas,2023,,15354
MSM_18790,False,0,False,False,False,none,media,2023,,6816
MSM_18795,False,0,True,False,True,over_disclosure,healthtech,2023,,4351
MSM_18807,True,10,False,True,False,under_disclosure,saas,2023,,4980
MSM_18828,True,22,False,True,False,under_disclosure,saas,2023,,6243
MSM_18843,True,7,False,True,False,under_disclosure,saas,2023,,56
MSM_18849,True,4,False,True,False,under_disclosure,saas,2023,,10612
MSM_18863,True,14,True,False,False,none,media,2023,,5635
MSM_18880,True,8,False,True,False,under_disclosure,ecommerce,2023,,6230
MSM_18882,True,14,False,True,False,under_disclosure,saas,2023,,12264
MSM_18889,False,0,False,False,False,none,saas,2023,,9525
MSM_18913,False,0,False,False,False,none,gaming,2023,,52
MSM_18915,False,0,False,False,False,none,saas,2023,,348
MSM_18921,True,4,False,True,False,under_disclosure,saas,2023,,3481
MSM_18940,True,17,False,True,False,under_disclosure,media,2023,,1739
MSM_18943,True,28,False,True,False,under_disclosure,saas,2023,,2938
MSM_18963,True,27,False,True,False,under_disclosure,healthtech,2023,,6249
MSM_18965,True,6,False,True,False,under_disclosure,fintech,2023,,569
MSM_18978,True,24,False,True,False,under_disclosure,edtech,2023,,6249
MSM_18986,True,8,False,True,False,under_disclosure,saas,2023,,6032
MSM_18988,True,13,False,True,False,under_disclosure,saas,2023,,1317
MSM_18989,True,32,False,True,False,under_disclosure,media,2023,,2679
MSM_19008,True,8,False,True,False,under_disclosure,saas,2023,,0
MSM_19012,True,17,False,True,False,under_disclosure,saas,2023,,985
MSM_19022,True,15,False,True,False,under_disclosure,saas,2023,,6248
MSM_19028,True,3,True,False,False,none,saas,2023,,7011
MSM_19034,True,1,False,True,False,under_disclosure,saas,2023,,4367
MSM_19049,True,6,False,True,False,under_disclosure,saas,2023,,3090
MSM_19069,True,1,False,True,False,under_disclosure,saas,2023,,6879
MSM_19090,True,8,True,False,False,none,saas,2023,,1111
MSM_19113,True,11,False,True,False,under_disclosure,saas,2023,,3915
MSM_19139,True,7,False,True,False,under_disclosure,saas,2023,,6616
MSM_19141,True,7,False,True,False,under_disclosure,media,2023,,6560
MSM_19154,True,22,False,True,False,under_disclosure,saas,2023,,2057
MSM_19179,True,5,False,True,False,under_disclosure,healthtech,2023,,6178
MSM_19184,True,22,False,True,False,under_disclosure,saas,2023,,3202
MSM_19186,True,4,True,False,False,none,edtech,2023,,4578
MSM_19189,True,2,False,True,False,under_disclosure,saas,2023,,6230
MSM_19190,True,6,False,True,False,under_disclosure,saas,2023,,6156
MSM_19205,True,17,False,True,False,under_disclosure,media,2023,,6256
MSM_19216,True,3,False,True,False,under_disclosure,saas,2023,,4028
MSM_19222,True,8,False,True,False,under_disclosure,saas,2023,,1658
MSM_19235,True,4,False,True,False,under_disclosure,saas,2023,,1961
MSM_19293,True,5,False,True,False,under_disclosure,saas,2023,,17521
MSM_19297,True,1,False,True,False,under_disclosure,saas,2023,,4515
MSM_19302,True,17,False,True,False,under_disclosure,ecommerce,2023,,985
MSM_19303,True,1,False,True,False,under_disclosure,saas,2023,,1020
MSM_19316,True,7,False,True,False,under_disclosure,saas,2023,,6238
MSM_19334,True,13,False,True,False,under_disclosure,saas,2023,,7415
MSM_19346,True,15,False,True,False,under_disclosure,saas,2023,,1079
MSM_19357,False,0,False,False,False,none,proptech,2023,,10602
MSM_19365,True,20,False,True,False,under_disclosure,saas,2023,,4857
MSM_19378,True,27,False,True,False,under_disclosure,saas,2023,,6249
MSM_19384,True,3,False,True,False,under_disclosure,saas,2023,,1627
MSM_19385,True,1,False,True,False,under_disclosure,ecommerce,2023,,10522
MSM_19388,False,0,False,False,False,none,saas,2023,,320
MSM_19407,True,10,False,True,False,under_disclosure,foodtech,2023,,4980
MSM_19416,True,6,False,True,False,under_disclosure,saas,2024,,822
MSM_19426,True,18,False,True,False,under_disclosure,saas,2023,,11183
MSM_19429,False,0,False,False,False,none,saas,2023,,2799
MSM_19434,True,14,False,True,False,under_disclosure,saas,2023,,4982
MSM_19435,True,1,False,True,False,under_disclosure,saas,2023,,6879
MSM_19443,True,3,False,True,False,under_disclosure,saas,2023,,5306
MSM_19444,True,12,False,True,False,under_disclosure,logistics,2023,,23734
MSM_19478,True,1,False,True,False,under_disclosure,saas,2023,,0
MSM_19495,True,7,False,True,False,under_disclosure,media,2023,,911
MSM_19497,False,0,False,False,False,none,saas,2023,,2555
MSM_19501,True,19,False,True,False,under_disclosure,saas,2023,,4880
MSM_19509,True,1,False,True,False,under_disclosure,media,2023,,3955
MSM_19510,True,6,False,True,False,under_disclosure,saas,2023,,8803
MSM_19513,False,0,True,False,True,over_disclosure,saas,2024,,8351
MSM_19527,False,0,False,False,False,none,saas,2023,,2799
MSM_19537,True,14,False,True,False,under_disclosure,saas,2023,,5918
MSM_19539,True,18,False,True,False,under_disclosure,saas,2023,,5978
MSM_19550,True,4,False,True,False,under_disclosure,proptech,2023,,629
MSM_19561,True,6,False,True,False,under_disclosure,saas,2023,,166
MSM_19565,True,8,False,True,False,under_disclosure,saas,2023,,1202
MSM_19568,True,3,False,True,False,under_disclosure,saas,2023,,1222
MSM_19575,True,17,False,True,False,under_disclosure,saas,2023,,6231
MSM_19586,True,3,False,True,False,under_disclosure,saas,2023,,990
MSM_19590,True,8,False,True,False,under_disclosure,saas,2023,,23734
MSM_19591,True,2,False,True,False,under_disclosure,saas,2023,,6290
MSM_19602,True,44,False,True,False,under_disclosure,saas,2023,,19703
MSM_19609,True,35,False,True,False,under_disclosure,saas,2023,,604
MSM_19619,True,12,False,True,False,under_disclosure,saas,2023,,23734
MSM_19637,True,2,False,True,False,under_disclosure,saas,2023,,70
MSM_19639,False,0,False,False,False,none,saas,2023,,182
MSM_19640,False,0,False,False,False,none,saas,2023,,7492
MSM_19645,False,0,False,False,False,none,saas,2023,,1992
MSM_19659,True,3,False,True,False,under_disclosure,saas,2025,,60384
MSM_19667,True,10,False,True,False,under_disclosure,gaming,2023,,4980
MSM_19669,True,16,False,True,False,under_disclosure,saas,2023,,7728
MSM_19674,True,9,False,True,False,under_disclosure,saas,2023,,0
MSM_19681,True,11,False,True,False,under_disclosure,saas,2024,,6275
MSM_19685,True,15,True,False,False,none,ecommerce,2023,,1811
MSM_19687,True,17,False,True,False,under_disclosure,saas,2024,,6265
MSM_19706,True,11,False,True,False,under_disclosure,healthtech,2024,,6292
MSM_19717,True,20,False,True,False,under_disclosure,gaming,2023,,4857
MSM_19723,True,4,True,False,False,none,saas,2023,,7856
MSM_19736,True,10,False,True,False,under_disclosure,media,2023,,4980
MSM_19747,True,11,False,True,False,under_disclosure,saas,2023,,69
MSM_19750,True,3,False,True,False,under_disclosure,saas,2023,,0
MSM_19756,True,48,False,True,False,under_disclosure,saas,2023,,19703
MSM_19764,True,12,False,True,False,under_disclosure,media,2023,,23734
MSM_19772,False,0,False,False,False,none,healthtech,2023,,3322
MSM_19773,True,8,False,True,False,under_disclosure,saas,2023,,2628
MSM_19783,True,11,False,True,False,under_disclosure,saas,2023,,479
MSM_19787,False,0,False,False,False,none,saas,2023,,1768
MSM_19791,True,14,False,True,False,under_disclosure,saas,2023,,6351
MSM_19793,True,17,False,True,False,under_disclosure,saas,2024,,7057
MSM_19817,True,20,False,True,False,under_disclosure,saas,2023,,6414
MSM_19818,True,4,False,True,False,under_disclosure,saas,2023,,2424
MSM_19820,True,12,False,True,False,under_disclosure,edtech,2024,,4261
MSM_19829,True,47,True,False,False,none,saas,2024,,19703
MSM_19832,True,3,True,False,False,none,saas,2024,,13832
